18;Camera Frontal;3;;Componentes Celular;True;27/07/2022;R$ 500,00;
22;Camera Traseira;4;;Componentes Celular;True;28/07/2022;R$ 41,00;
25;Processador Samsung;5;;Componentes Celiular;True;30/07/2022;R$ 60,00;
29;leite;123;;lactose;True;06/08/2022;R$ 7,00;
32;Placa mãe;6;;Componentes Celulaar;True;28/08/2022;R$ 74.006.500.730.020.004.300.650.072.007.500,00;
16;Placa mãe;6;;Componentes Celulaar;True;28/08/2022;R$ 74.006.500.730.020.004.300.650.072.007.500,00;
34;Placa mãe;6;;Componentes Celulaar;True;28/08/2022;R$ 74.006.500.730.020.004.300.650.072.007.500,00;
36;Smartphone;8;;Smartphone;True;28/08/2022;R$ 74.006.500.000.000.000.000.000.000.000.000,00;
37;Placa mãe;6;;Componentes Celulaar;True;28/08/2022;R$ 74.006.500.730.020.004.300.650.072.007.500,00;
39;Motorola;10;;Smartphone;True;28/08/2022;R$ 74.006.500.000.000.000.000.000.000.000.000,00;
